field_name,record_type,dimension,dimension_value,total_records,non_empty_count,valid_count,coverage,valid_coverage
document_id,document,all,all,3,3,3,1.0,1.0
document_id,document,record_type,document,3,3,3,1.0,1.0
document_id,document,source,documents,3,3,3,1.0,1.0
document_id,document,version,1,2,2,2,1.0,1.0
document_id,document,version,2,1,1,1,1.0,1.0
document_id,document,year,2025,1,1,1,1.0,1.0
document_id,document,year,2026,2,2,2,1.0,1.0
document_id,chunk,all,all,4,4,4,1.0,1.0
document_id,chunk,document_type,policy,2,2,2,1.0,1.0
document_id,chunk,document_type,report,1,1,1,1.0,1.0
document_id,chunk,record_type,chunk,4,4,4,1.0,1.0
document_id,chunk,source,fixture/orphan,1,1,1,1.0,1.0
document_id,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
document_id,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
document_id,chunk,version,1,2,2,2,1.0,1.0
document_id,chunk,version,2,2,2,2,1.0,1.0
document_id,chunk,year,2026,4,4,4,1.0,1.0
chunk_id,chunk,all,all,4,4,4,1.0,1.0
chunk_id,chunk,document_type,policy,2,2,2,1.0,1.0
chunk_id,chunk,document_type,report,1,1,1,1.0,1.0
chunk_id,chunk,record_type,chunk,4,4,4,1.0,1.0
chunk_id,chunk,source,fixture/orphan,1,1,1,1.0,1.0
chunk_id,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
chunk_id,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
chunk_id,chunk,version,1,2,2,2,1.0,1.0
chunk_id,chunk,version,2,2,2,2,1.0,1.0
chunk_id,chunk,year,2026,4,4,4,1.0,1.0
owner_id,document,all,all,3,3,3,1.0,1.0
owner_id,document,record_type,document,3,3,3,1.0,1.0
owner_id,document,source,documents,3,3,3,1.0,1.0
owner_id,document,version,1,2,2,2,1.0,1.0
owner_id,document,version,2,1,1,1,1.0,1.0
owner_id,document,year,2025,1,1,1,1.0,1.0
owner_id,document,year,2026,2,2,2,1.0,1.0
owner_id,chunk,all,all,4,4,4,1.0,1.0
owner_id,chunk,document_type,policy,2,2,2,1.0,1.0
owner_id,chunk,document_type,report,1,1,1,1.0,1.0
owner_id,chunk,record_type,chunk,4,4,4,1.0,1.0
owner_id,chunk,source,fixture/orphan,1,1,1,1.0,1.0
owner_id,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
owner_id,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
owner_id,chunk,version,1,2,2,2,1.0,1.0
owner_id,chunk,version,2,2,2,2,1.0,1.0
owner_id,chunk,year,2026,4,4,4,1.0,1.0
notebook_id,document,all,all,3,3,3,1.0,1.0
notebook_id,document,record_type,document,3,3,3,1.0,1.0
notebook_id,document,source,documents,3,3,3,1.0,1.0
notebook_id,document,version,1,2,2,2,1.0,1.0
notebook_id,document,version,2,1,1,1,1.0,1.0
notebook_id,document,year,2025,1,1,1,1.0,1.0
notebook_id,document,year,2026,2,2,2,1.0,1.0
notebook_id,chunk,all,all,4,4,4,1.0,1.0
notebook_id,chunk,document_type,policy,2,2,2,1.0,1.0
notebook_id,chunk,document_type,report,1,1,1,1.0,1.0
notebook_id,chunk,record_type,chunk,4,4,4,1.0,1.0
notebook_id,chunk,source,fixture/orphan,1,1,1,1.0,1.0
notebook_id,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
notebook_id,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
notebook_id,chunk,version,1,2,2,2,1.0,1.0
notebook_id,chunk,version,2,2,2,2,1.0,1.0
notebook_id,chunk,year,2026,4,4,4,1.0,1.0
original_filename,document,all,all,3,3,3,1.0,1.0
original_filename,document,record_type,document,3,3,3,1.0,1.0
original_filename,document,source,documents,3,3,3,1.0,1.0
original_filename,document,version,1,2,2,2,1.0,1.0
original_filename,document,version,2,1,1,1,1.0,1.0
original_filename,document,year,2025,1,1,1,1.0,1.0
original_filename,document,year,2026,2,2,2,1.0,1.0
source,chunk,all,all,4,4,4,1.0,1.0
source,chunk,document_type,policy,2,2,2,1.0,1.0
source,chunk,document_type,report,1,1,1,1.0,1.0
source,chunk,record_type,chunk,4,4,4,1.0,1.0
source,chunk,source,fixture/orphan,1,1,1,1.0,1.0
source,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
source,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
source,chunk,version,1,2,2,2,1.0,1.0
source,chunk,version,2,2,2,2,1.0,1.0
source,chunk,year,2026,4,4,4,1.0,1.0
storage_bucket,document,all,all,3,3,3,1.0,1.0
storage_bucket,document,record_type,document,3,3,3,1.0,1.0
storage_bucket,document,source,documents,3,3,3,1.0,1.0
storage_bucket,document,version,1,2,2,2,1.0,1.0
storage_bucket,document,version,2,1,1,1,1.0,1.0
storage_bucket,document,year,2025,1,1,1,1.0,1.0
storage_bucket,document,year,2026,2,2,2,1.0,1.0
storage_object_path,document,all,all,3,3,3,1.0,1.0
storage_object_path,document,record_type,document,3,3,3,1.0,1.0
storage_object_path,document,source,documents,3,3,3,1.0,1.0
storage_object_path,document,version,1,2,2,2,1.0,1.0
storage_object_path,document,version,2,1,1,1,1.0,1.0
storage_object_path,document,year,2025,1,1,1,1.0,1.0
storage_object_path,document,year,2026,2,2,2,1.0,1.0
mime_type,document,all,all,3,3,3,1.0,1.0
mime_type,document,record_type,document,3,3,3,1.0,1.0
mime_type,document,source,documents,3,3,3,1.0,1.0
mime_type,document,version,1,2,2,2,1.0,1.0
mime_type,document,version,2,1,1,1,1.0,1.0
mime_type,document,year,2025,1,1,1,1.0,1.0
mime_type,document,year,2026,2,2,2,1.0,1.0
size_bytes,document,all,all,3,3,3,1.0,1.0
size_bytes,document,record_type,document,3,3,3,1.0,1.0
size_bytes,document,source,documents,3,3,3,1.0,1.0
size_bytes,document,version,1,2,2,2,1.0,1.0
size_bytes,document,version,2,1,1,1,1.0,1.0
size_bytes,document,year,2025,1,1,1,1.0,1.0
size_bytes,document,year,2026,2,2,2,1.0,1.0
content_hash,document,all,all,3,3,3,1.0,1.0
content_hash,document,record_type,document,3,3,3,1.0,1.0
content_hash,document,source,documents,3,3,3,1.0,1.0
content_hash,document,version,1,2,2,2,1.0,1.0
content_hash,document,version,2,1,1,1,1.0,1.0
content_hash,document,year,2025,1,1,1,1.0,1.0
content_hash,document,year,2026,2,2,2,1.0,1.0
status,document,all,all,3,3,3,1.0,1.0
status,document,record_type,document,3,3,3,1.0,1.0
status,document,source,documents,3,3,3,1.0,1.0
status,document,version,1,2,2,2,1.0,1.0
status,document,version,2,1,1,1,1.0,1.0
status,document,year,2025,1,1,1,1.0,1.0
status,document,year,2026,2,2,2,1.0,1.0
error_message,document,all,all,3,1,1,0.333333,0.333333
error_message,document,record_type,document,3,1,1,0.333333,0.333333
error_message,document,source,documents,3,1,1,0.333333,0.333333
error_message,document,version,1,2,1,1,0.5,0.5
error_message,document,version,2,1,0,0,0.0,0.0
error_message,document,year,2025,1,0,0,0.0,0.0
error_message,document,year,2026,2,1,1,0.5,0.5
is_active,document,all,all,3,3,3,1.0,1.0
is_active,document,record_type,document,3,3,3,1.0,1.0
is_active,document,source,documents,3,3,3,1.0,1.0
is_active,document,version,1,2,2,2,1.0,1.0
is_active,document,version,2,1,1,1,1.0,1.0
is_active,document,year,2025,1,1,1,1.0,1.0
is_active,document,year,2026,2,2,2,1.0,1.0
created_at,document,all,all,3,3,3,1.0,1.0
created_at,document,record_type,document,3,3,3,1.0,1.0
created_at,document,source,documents,3,3,3,1.0,1.0
created_at,document,version,1,2,2,2,1.0,1.0
created_at,document,version,2,1,1,1,1.0,1.0
created_at,document,year,2025,1,1,1,1.0,1.0
created_at,document,year,2026,2,2,2,1.0,1.0
created_at,chunk,all,all,4,4,4,1.0,1.0
created_at,chunk,document_type,policy,2,2,2,1.0,1.0
created_at,chunk,document_type,report,1,1,1,1.0,1.0
created_at,chunk,record_type,chunk,4,4,4,1.0,1.0
created_at,chunk,source,fixture/orphan,1,1,1,1.0,1.0
created_at,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
created_at,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
created_at,chunk,version,1,2,2,2,1.0,1.0
created_at,chunk,version,2,2,2,2,1.0,1.0
created_at,chunk,year,2026,4,4,4,1.0,1.0
updated_at,document,all,all,3,3,3,1.0,1.0
updated_at,document,record_type,document,3,3,3,1.0,1.0
updated_at,document,source,documents,3,3,3,1.0,1.0
updated_at,document,version,1,2,2,2,1.0,1.0
updated_at,document,version,2,1,1,1,1.0,1.0
updated_at,document,year,2025,1,1,1,1.0,1.0
updated_at,document,year,2026,2,2,2,1.0,1.0
normalized_content_hash,document,all,all,3,2,2,0.666667,0.666667
normalized_content_hash,document,record_type,document,3,2,2,0.666667,0.666667
normalized_content_hash,document,source,documents,3,2,2,0.666667,0.666667
normalized_content_hash,document,version,1,2,1,1,0.5,0.5
normalized_content_hash,document,version,2,1,1,1,1.0,1.0
normalized_content_hash,document,year,2025,1,1,1,1.0,1.0
normalized_content_hash,document,year,2026,2,1,1,0.5,0.5
normalized_content_hash,chunk,all,all,4,4,4,1.0,1.0
normalized_content_hash,chunk,document_type,policy,2,2,2,1.0,1.0
normalized_content_hash,chunk,document_type,report,1,1,1,1.0,1.0
normalized_content_hash,chunk,record_type,chunk,4,4,4,1.0,1.0
normalized_content_hash,chunk,source,fixture/orphan,1,1,1,1.0,1.0
normalized_content_hash,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
normalized_content_hash,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
normalized_content_hash,chunk,version,1,2,2,2,1.0,1.0
normalized_content_hash,chunk,version,2,2,2,2,1.0,1.0
normalized_content_hash,chunk,year,2026,4,4,4,1.0,1.0
normalization_version,document,all,all,3,2,2,0.666667,0.666667
normalization_version,document,record_type,document,3,2,2,0.666667,0.666667
normalization_version,document,source,documents,3,2,2,0.666667,0.666667
normalization_version,document,version,1,2,1,1,0.5,0.5
normalization_version,document,version,2,1,1,1,1.0,1.0
normalization_version,document,year,2025,1,1,1,1.0,1.0
normalization_version,document,year,2026,2,1,1,0.5,0.5
normalization_version,chunk,all,all,4,4,4,1.0,1.0
normalization_version,chunk,document_type,policy,2,2,2,1.0,1.0
normalization_version,chunk,document_type,report,1,1,1,1.0,1.0
normalization_version,chunk,record_type,chunk,4,4,4,1.0,1.0
normalization_version,chunk,source,fixture/orphan,1,1,1,1.0,1.0
normalization_version,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
normalization_version,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
normalization_version,chunk,version,1,2,2,2,1.0,1.0
normalization_version,chunk,version,2,2,2,2,1.0,1.0
normalization_version,chunk,year,2026,4,4,4,1.0,1.0
loose_content_signature,document,all,all,3,2,2,0.666667,0.666667
loose_content_signature,document,record_type,document,3,2,2,0.666667,0.666667
loose_content_signature,document,source,documents,3,2,2,0.666667,0.666667
loose_content_signature,document,version,1,2,1,1,0.5,0.5
loose_content_signature,document,version,2,1,1,1,1.0,1.0
loose_content_signature,document,year,2025,1,1,1,1.0,1.0
loose_content_signature,document,year,2026,2,1,1,0.5,0.5
loose_content_signature,chunk,all,all,4,4,4,1.0,1.0
loose_content_signature,chunk,document_type,policy,2,2,2,1.0,1.0
loose_content_signature,chunk,document_type,report,1,1,1,1.0,1.0
loose_content_signature,chunk,record_type,chunk,4,4,4,1.0,1.0
loose_content_signature,chunk,source,fixture/orphan,1,1,1,1.0,1.0
loose_content_signature,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
loose_content_signature,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
loose_content_signature,chunk,version,1,2,2,2,1.0,1.0
loose_content_signature,chunk,version,2,2,2,2,1.0,1.0
loose_content_signature,chunk,year,2026,4,4,4,1.0,1.0
canonical_document_id,document,all,all,3,0,0,0.0,0.0
canonical_document_id,document,record_type,document,3,0,0,0.0,0.0
canonical_document_id,document,source,documents,3,0,0,0.0,0.0
canonical_document_id,document,version,1,2,0,0,0.0,0.0
canonical_document_id,document,version,2,1,0,0,0.0,0.0
canonical_document_id,document,year,2025,1,0,0,0.0,0.0
canonical_document_id,document,year,2026,2,0,0,0.0,0.0
version_group_id,document,all,all,3,3,3,1.0,1.0
version_group_id,document,record_type,document,3,3,3,1.0,1.0
version_group_id,document,source,documents,3,3,3,1.0,1.0
version_group_id,document,version,1,2,2,2,1.0,1.0
version_group_id,document,version,2,1,1,1,1.0,1.0
version_group_id,document,year,2025,1,1,1,1.0,1.0
version_group_id,document,year,2026,2,2,2,1.0,1.0
version_number,document,all,all,3,3,3,1.0,1.0
version_number,document,record_type,document,3,3,3,1.0,1.0
version_number,document,source,documents,3,3,3,1.0,1.0
version_number,document,version,1,2,2,2,1.0,1.0
version_number,document,version,2,1,1,1,1.0,1.0
version_number,document,year,2025,1,1,1,1.0,1.0
version_number,document,year,2026,2,2,2,1.0,1.0
effective_from,document,all,all,3,3,2,1.0,0.666667
effective_from,document,record_type,document,3,3,2,1.0,0.666667
effective_from,document,source,documents,3,3,2,1.0,0.666667
effective_from,document,version,1,2,2,1,1.0,0.5
effective_from,document,version,2,1,1,1,1.0,1.0
effective_from,document,year,2025,1,1,1,1.0,1.0
effective_from,document,year,2026,2,2,1,1.0,0.5
effective_to,document,all,all,3,2,2,0.666667,0.666667
effective_to,document,record_type,document,3,2,2,0.666667,0.666667
effective_to,document,source,documents,3,2,2,0.666667,0.666667
effective_to,document,version,1,2,1,1,0.5,0.5
effective_to,document,version,2,1,1,1,1.0,1.0
effective_to,document,year,2025,1,1,1,1.0,1.0
effective_to,document,year,2026,2,1,1,0.5,0.5
supersedes_document_id,document,all,all,3,1,1,0.333333,0.333333
supersedes_document_id,document,record_type,document,3,1,1,0.333333,0.333333
supersedes_document_id,document,source,documents,3,1,1,0.333333,0.333333
supersedes_document_id,document,version,1,2,0,0,0.0,0.0
supersedes_document_id,document,version,2,1,1,1,1.0,1.0
supersedes_document_id,document,year,2025,1,1,1,1.0,1.0
supersedes_document_id,document,year,2026,2,0,0,0.0,0.0
is_current,document,all,all,3,3,3,1.0,1.0
is_current,document,record_type,document,3,3,3,1.0,1.0
is_current,document,source,documents,3,3,3,1.0,1.0
is_current,document,version,1,2,2,2,1.0,1.0
is_current,document,version,2,1,1,1,1.0,1.0
is_current,document,year,2025,1,1,1,1.0,1.0
is_current,document,year,2026,2,2,2,1.0,1.0
quality_status,document,all,all,3,3,3,1.0,1.0
