row_type,field_name,record_type,record_id,document_id,total_non_empty,valid_count,invalid_count,validity,value,error
summary,document_id,document,,,3,3,0,1.0,,
summary,document_id,chunk,,,4,4,0,1.0,,
summary,chunk_id,chunk,,,4,4,0,1.0,,
summary,owner_id,document,,,3,3,0,1.0,,
summary,owner_id,chunk,,,4,4,0,1.0,,
summary,notebook_id,document,,,3,3,0,1.0,,
summary,notebook_id,chunk,,,4,4,0,1.0,,
summary,original_filename,document,,,3,3,0,1.0,,
summary,source,chunk,,,4,4,0,1.0,,
summary,storage_bucket,document,,,3,3,0,1.0,,
summary,storage_object_path,document,,,3,3,0,1.0,,
summary,mime_type,document,,,3,3,0,1.0,,
summary,size_bytes,document,,,3,3,0,1.0,,
summary,content_hash,document,,,3,3,0,1.0,,
summary,status,document,,,3,3,0,1.0,,
summary,error_message,document,,,1,1,0,1.0,,
summary,is_active,document,,,3,3,0,1.0,,
summary,created_at,document,,,3,3,0,1.0,,
summary,created_at,chunk,,,4,4,0,1.0,,
summary,updated_at,document,,,3,3,0,1.0,,
summary,normalized_content_hash,document,,,2,2,0,1.0,,
summary,normalized_content_hash,chunk,,,4,4,0,1.0,,
summary,normalization_version,document,,,2,2,0,1.0,,
summary,normalization_version,chunk,,,4,4,0,1.0,,
summary,loose_content_signature,document,,,2,2,0,1.0,,
summary,loose_content_signature,chunk,,,4,4,0,1.0,,
summary,canonical_document_id,document,,,0,0,0,,,
summary,version_group_id,document,,,3,3,0,1.0,,
summary,version_number,document,,,3,3,0,1.0,,
summary,effective_from,document,,,3,2,1,0.666667,,
issue,effective_from,document,33333333-3333-4333-8333-333333333333,33333333-3333-4333-8333-333333333333,,,,,2026/03/01,expected_date
summary,effective_to,document,,,2,2,0,1.0,,
summary,supersedes_document_id,document,,,1,1,0,1.0,,
summary,is_current,document,,,3,3,0,1.0,,
summary,quality_status,document,,,3,3,0,1.0,,
summary,quality_metadata,document,,,2,2,0,1.0,,
summary,quality_metadata.character_count,document,,,2,2,0,1.0,,
summary,quality_metadata.token_count,document,,,2,2,0,1.0,,
summary,quality_metadata.knowledge_quality_mode,document,,,2,2,0,1.0,,
summary,metadata,chunk,,,4,4,0,1.0,,
summary,chunk_index,chunk,,,4,4,0,1.0,,
summary,content,chunk,,,4,4,0,1.0,,
summary,token_count,chunk,,,4,4,0,1.0,,
summary,character_count,chunk,,,1,1,0,1.0,,
summary,page_number,chunk,,,4,3,1,0.75,,
issue,page_number,chunk,cccccccc-1111-4111-8111-111111111111,44444444-4444-4444-8444-444444444444,,,,,0,below_min_value
summary,section_title,chunk,,,3,3,0,1.0,,
summary,section_id,chunk,,,1,1,0,1.0,,
summary,offset_start,chunk,,,0,0,0,,,
summary,offset_end,chunk,,,0,0,0,,,
summary,parent_chunk_id,chunk,,,0,0,0,,,
summary,children,chunk,,,0,0,0,,,
summary,strategy,chunk,,,4,4,0,1.0,,
summary,strategy_version,chunk,,,4,4,0,1.0,,
summary,chunk_version,chunk,,,0,0,0,,,
summary,metadata_version,chunk,,,0,0,0,,,
summary,config_checksum,chunk,,,4,4,0,1.0,,
summary,content_checksum,chunk,,,1,1,0,1.0,,
summary,source_block_ids,chunk,,,1,1,0,1.0,,
summary,table_identity,chunk,,,0,0,0,,,
summary,table_row_group_index,chunk,,,0,0,0,,,
summary,table_row_group,chunk,,,0,0,0,,,
summary,document_version,chunk,,,4,4,0,1.0,,
summary,parser_name,chunk,,,4,4,0,1.0,,
summary,parser_version,chunk,,,4,4,0,1.0,,
summary,page_count,chunk,,,0,0,0,,,
summary,pdf_type,chunk,,,0,0,0,,,
summary,extraction_strategy,chunk,,,0,0,0,,,
summary,estimated_ocr_required,chunk,,,0,0,0,,,
summary,analysis_confidence,chunk,,,0,0,0,,,
summary,sheet_count,chunk,,,0,0,0,,,
summary,retrieval_metadata,chunk,,,4,4,0,1.0,,
summary,title,chunk,,,3,3,0,1.0,,
summary,document_type,chunk,,,3,3,0,1.0,,
summary,language,chunk,,,4,3,1,0.75,,
issue,language,chunk,aaaaaaaa-2222-4222-8222-222222222222,11111111-1111-4111-8111-111111111111,,,,,vi_VN,regex_mismatch
summary,section_path,chunk,,,3,3,0,1.0,,
summary,content_kind,chunk,,,3,3,0,1.0,,
summary,table_header,chunk,,,2,2,0,1.0,,
summary,keyword_aliases,chunk,,,2,2,0,1.0,,
summary,contextual_summary,chunk,,,2,2,0,1.0,,
summary,contextual_search_terms,chunk,,,3,2,1,0.666667,,
issue,contextual_search_terms,chunk,aaaaaaaa-2222-4222-8222-222222222222,11111111-1111-4111-8111-111111111111,,,,,"[""ăn tối"",""tiền ăn"",""phụ cấp"",""bữa tối"",""bữa trưa"",""công tác"",""chi phí"",""định mức"",""thanh toán""]",too_many_items
summary,embedding_context,chunk,,,0,0,0,,,
summary,embedding_text_checksum,chunk,,,4,4,0,1.0,,
summary,search_text_checksum,chunk,,,1,1,0,1.0,,
summary,embedding_model,chunk,,,0,0,0,,,
summary,ingestion_generation,chunk,,,0,0,0,,,
summary,contextual_text_version,chunk,,,0,0,0,,,
summary,context_enrichment,chunk,,,3,3,0,1.0,,
summary,context_enrichment.status,chunk,,,3,3,0,1.0,,
summary,context_enrichment.provider,chunk,,,3,3,0,1.0,,
summary,context_enrichment.model,chunk,,,3,3,0,1.0,,
summary,context_enrichment.prompt_version,chunk,,,3,3,0,1.0,,
summary,context_enrichment.input_checksum,chunk,,,3,3,0,1.0,,
summary,context_enrichment.error_code,chunk,,,1,1,0,1.0,,
summary,exact_duplicate_group_id,chunk,,,4,4,0,1.0,,
summary,canonical_text,chunk,,,0,0,0,,,
summary,pre_embedding_quality,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.detector_version,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.action,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.relation_type,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.confidence,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.embedding_reused,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.match_source,chunk,,,0,0,0,,,
summary,pre_embedding_quality.target_document_id,chunk,,,0,0,0,,,
summary,pre_embedding_quality.target_chunk_id,chunk,,,0,0,0,,,
summary,pre_embedding_quality.simhash_hamming_distance,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.lsh_band_matches,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.lexical_similarity,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.containment,chunk,,,1,1,0,1.0,,
summary,pre_embedding_quality.reason_codes,chunk,,,1,1,0,1.0,,
