test_id,source_file,primary_slice,target_type,expected_page,status,term_coverage,relevant_chunk_count,relevant_chunk_ids,relevant_group_count,protected_chunk_count,missing_terms
real_content_only_01,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:12:58ec764084f1,1,0,
real_content_only_02,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:14:ca7b4845488e,1,0,
real_content_only_03,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:16:b200591f4f5f,1,0,
real_content_only_04,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:18:c29e420469e5,1,0,
real_content_only_05,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:20:10367715795d,1,0,
real_content_only_06,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:22:02d56c3bf08a,1,0,
real_content_only_07,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:24:9dfa702397f6,1,0,
real_content_only_08,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:26:1158151c481d,1,0,
real_content_only_09,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:28:4f9988db33ce,1,0,
real_content_only_10,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:30:e954cfc26432,1,0,
