"comparison","left_mode","right_mode","metric","left_mean","right_mean","absolute_delta","relative_delta","ci95_low","ci95_high","win","tie","loss","n_pairs","p_value_permutation","note"
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","recall_at_5","0.647059","0.964706","0.317647","0.490909","0.254902","0.380392","86","164","5","255","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","success_at_5","0.626667","0.906667","0.28","0.446809","0.226667","0.333333","88","208","4","300","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","mrr_at_10","0.505635","0.818312","0.312677","0.618384","0.265058","0.362294","141","100","14","255","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","ndcg_at_10","0.560904","0.863386","0.302482","0.539276","0.258262","0.349063","141","100","14","255","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","term_hit_rate_at_5","0.644118","0.947386","0.303268","0.470827","0.249673","0.359804","99","151","5","255","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","multi_hop_group_coverage_at_10","0.545833","0.870833","0.325","0.59542","0.225","0.429167","24","16","0","40","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","multi_hop_all_groups_at_10","0.3","0.725","0.425","1.416667","0.275","0.575","17","23","0","40","0.0002",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","null_rejection_at_10","1.0","1.0","0.0","0.0","0.0","0.0","0","30","0","30","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","permission_safe_at_10","1.0","1.0","0.0","0.0","0.0","0.0","0","15","0","15","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","permission_leak_at_10","0.0","0.0","0.0","","0.0","0.0","0","15","0","15","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","permission_allowed_recall_at_10","0.266667","1.0","0.733333","2.75","0.466667","0.933333","11","4","0","15","0.0004",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","protected_hit_count_at_10","0.0","0.0","0.0","","0.0","0.0","0","15","0","15","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","sensitive_term_leak_at_10","0.0","0.0","0.0","","0.0","0.0","0","15","0","15","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","all_required_documents_at_10","0.996667","0.996667","0.0","0.0","-0.01","0.01","1","298","1","300","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","table_structured_success_at_10","0.533333","1.0","0.466667","0.875","0.266667","0.633333","14","16","0","30","0.0004",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","filter_preflight_pass_rate","1.0","1.0","0.0","0.0","0.0","0.0","0","300","0","300","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","empty_result_rate","0.0","0.0","0.0","","0.0","0.0","0","255","0","255","1.0",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","forbidden_top1_rate","0.007843","0.0","-0.007843","-1.0","-0.019608","0.0","0","253","2","255","0.515297",""
"header_minus_chunk","ctx_a_chunk_only","ctx_b_deterministic_header","top1_mojibake_rate","0.0","0.0","0.0","","0.0","0.0","0","300","0","300","1.0",""
