"field","selected_queries","selected_answerable","metric","full_filter","without_field","delta","ci95_low","ci95_high","wins","ties","losses","p_value","scenario_clusters","cluster_ci95_low","cluster_ci95_high","cluster_p_value"
"document_type","90","60","recall_at_5","1.0","1.0","0.0","0.0","0.0","0","60","0","1.0","40","0.0","0.0","1.0"
"document_type","90","60","mrr_at_10","0.916667","0.926389","0.009722","0.0","0.027778","2","58","0","0.486303","40","0.0","0.027778","0.5003"
"document_type","90","60","null_rejection_at_10","1.0","1.0","0.0","0.0","0.0","0","30","0","1.0","30","0.0","0.0","1.0"
"document_type","90","60","empty_result_rate","0.0","0.0","0.0","0.0","0.0","0","60","0","1.0","40","0.0","0.0","1.0"
"project_name","80","50","recall_at_5","1.0","0.96","-0.04","-0.1","0.0","0","48","2","0.4985","43","-0.104167","0.0","0.508298"
"project_name","80","50","mrr_at_10","0.95","0.780024","-0.169976","-0.2485","-0.09481","1","32","17","0.0002","43","-0.258851","-0.095175","0.0002"
"project_name","80","50","null_rejection_at_10","1.0","1.0","0.0","0.0","0.0","0","30","0","1.0","30","0.0","0.0","1.0"
"project_name","80","50","empty_result_rate","0.0","0.0","0.0","0.0","0.0","0","50","0","1.0","43","0.0","0.0","1.0"
"year","70","40","recall_at_5","1.0","1.0","0.0","0.0","0.0","0","40","0","1.0","39","0.0","0.0","1.0"
"year","70","40","mrr_at_10","0.975","0.9625","-0.0125","-0.0375","0.0","0","39","1","1.0","39","-0.038462","0.0","1.0"
"year","70","40","null_rejection_at_10","1.0","0.0","-1.0","-1.0","-1.0","0","0","30","0.0002","30","-1.0","-1.0","0.0002"
"year","70","40","empty_result_rate","0.0","0.0","0.0","0.0","0.0","0","40","0","1.0","39","0.0","0.0","1.0"
"lifecycle_status","40","40","recall_at_5","1.0","1.0","0.0","0.0","0.0","0","40","0","1.0","38","0.0","0.0","1.0"
"lifecycle_status","40","40","mrr_at_10","0.8375","0.804167","-0.033333","-0.070833","-0.004167","0","36","4","0.129374","38","-0.068376","-0.004274","0.122575"
"lifecycle_status","40","40","empty_result_rate","0.0","0.0","0.0","0.0","0.0","0","40","0","1.0","38","0.0","0.0","1.0"
"source","30","30","recall_at_5","1.0","1.0","0.0","0.0","0.0","0","30","0","1.0","30","0.0","0.0","1.0"
"source","30","30","mrr_at_10","1.0","1.0","0.0","0.0","0.0","0","30","0","1.0","30","0.0","0.0","1.0"
"source","30","30","empty_result_rate","0.0","0.0","0.0","0.0","0.0","0","30","0","1.0","30","0.0","0.0","1.0"
