mode,metadata_field,count,answerable_count,multi_hop_count,null_count,permission_count,permission_allowed_count,permission_denied_count,table_structured_count,filter_preflight_pass_rate,mrr_at_10,ndcg_at_10,forbidden_top1_rate,empty_result_rate,top1_mojibake_rate,latency_p50_ms,latency_p95_ms,recall_at_1,term_hit_rate_at_1,success_at_1,multi_hop_group_coverage_at_1,multi_hop_all_groups_at_1,null_rejection_at_1,permission_safe_at_1,permission_leak_at_1,permission_allowed_recall_at_1,protected_hit_count_at_1,sensitive_term_leak_at_1,all_required_documents_at_1,table_structured_success_at_1,recall_at_3,term_hit_rate_at_3,success_at_3,multi_hop_group_coverage_at_3,multi_hop_all_groups_at_3,null_rejection_at_3,permission_safe_at_3,permission_leak_at_3,permission_allowed_recall_at_3,protected_hit_count_at_3,sensitive_term_leak_at_3,all_required_documents_at_3,table_structured_success_at_3,recall_at_5,term_hit_rate_at_5,success_at_5,multi_hop_group_coverage_at_5,multi_hop_all_groups_at_5,null_rejection_at_5,permission_safe_at_5,permission_leak_at_5,permission_allowed_recall_at_5,protected_hit_count_at_5,sensitive_term_leak_at_5,all_required_documents_at_5,table_structured_success_at_5,recall_at_10,term_hit_rate_at_10,success_at_10,multi_hop_group_coverage_at_10,multi_hop_all_groups_at_10,null_rejection_at_10,permission_safe_at_10,permission_leak_at_10,permission_allowed_recall_at_10,protected_hit_count_at_10,sensitive_term_leak_at_10,all_required_documents_at_10,table_structured_success_at_10
filter_drop_all_domain,as_of_date,30,30,0,0,0,0,0,0,1.0,0.8361111111111111,0.8782394944357865,0.0,0.0,0.0,37.243,42.988,0.7,0.7333333333333333,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9666666666666667,0.0,0.9666666666666667,0.9833333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_all_domain,document_type,90,60,0,30,0,0,0,0,1.0,0.7802777777777777,0.8360101890972097,0.0,0.0,0.0,37.345,42.988,0.6166666666666667,0.6416666666666667,0.4111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9777777777777777,0.0,0.9166666666666666,0.95,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_all_domain,document_version,10,10,0,0,0,0,0,0,1.0,0.368015873015873,0.491615578121004,0.8,0.0,0.0,40.279,46.443,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9,0.0
filter_drop_all_domain,effective_status,30,30,0,0,0,0,0,0,1.0,0.8361111111111111,0.8782394944357865,0.0,0.0,0.0,37.243,42.988,0.7,0.7333333333333333,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9666666666666667,0.0,0.9666666666666667,0.9833333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_all_domain,lifecycle_status,40,40,0,0,0,0,0,0,1.0,0.7190873015873016,0.7815835153570909,0.2,0.0,0.0,39.137,43.642,0.575,0.6,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.775,0.0,0.825,0.8375,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.85,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9,0.0,0.975,0.975,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.975,0.0
filter_drop_all_domain,project_name,80,50,0,30,0,0,0,0,1.0,0.6682698412698412,0.7398288360222388,0.16,0.0,0.0,37.856,43.148,0.5,0.51,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8625,0.0,0.78,0.81,0.4875,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.925,0.0,0.9,0.9,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.95,0.0,0.96,0.96,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9875,0.0
filter_drop_all_domain,source,30,30,0,0,0,0,0,0,1.0,0.7244444444444444,0.7937808837586329,0.0,0.0,0.0,36.807,40.807,0.5333333333333333,0.55,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9666666666666667,0.0,0.8666666666666667,0.9166666666666666,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_all_domain,source_code,10,10,0,0,0,0,0,0,1.0,0.8,0.8261859507142915,0.0,0.0,0.0,37.815,40.231,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_all_domain,year,70,40,0,30,0,0,0,0,1.0,0.7433333333333333,0.8018821504975475,0.0,0.0,0.0,37.457,40.985,0.575,0.5875,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9571428571428572,0.0,0.875,0.9125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.975,0.975,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.975,0.975,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
filter_drop_document_type,as_of_date,30,30,0,0,0,0,0,0,1.0,0.8527777777777777,0.8905418359834046,0.0,0.0,0.0,16.729,19.248,0.7333333333333333,0.75,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.9666666666666667,0.9833333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
