comparison,left_mode,right_mode,metric,left_mean,right_mean,absolute_delta,relative_delta,ci95_low,ci95_high,win,tie,loss,n_pairs,p_value_permutation,cluster_field,cluster_count,cluster_ci95_low,cluster_ci95_high,cluster_p_value_permutation,note
without_document_type_minus_full,filter_full,filter_drop_document_type,recall_at_5,1.0,1.0,0.0,0.0,0.0,0.0,0,80,0,80,1.0,scenario_id,53,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,success_at_5,1.0,1.0,0.0,0.0,0.0,0.0,0,110,0,110,1.0,scenario_id,83,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,mrr_at_10,0.90625,0.913542,0.007292,0.008046,0.0,0.020833,2,78,0,80,0.495901,scenario_id,53,0.0,0.021111,0.492302,
without_document_type_minus_full,filter_full,filter_drop_document_type,ndcg_at_10,0.930406,0.935886,0.00548,0.00589,0.0,0.015573,2,78,0,80,0.495901,scenario_id,53,0.0,0.015817,0.492302,
without_document_type_minus_full,filter_full,filter_drop_document_type,term_hit_rate_at_5,1.0,1.0,0.0,0.0,0.0,0.0,0,80,0,80,1.0,scenario_id,53,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,null_rejection_at_10,1.0,1.0,0.0,0.0,0.0,0.0,0,30,0,30,1.0,scenario_id,30,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,all_required_documents_at_10,1.0,1.0,0.0,0.0,0.0,0.0,0,110,0,110,1.0,scenario_id,83,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,filter_preflight_pass_rate,1.0,1.0,0.0,0.0,0.0,0.0,0,110,0,110,1.0,scenario_id,83,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,empty_result_rate,0.0,0.0,0.0,,0.0,0.0,0,80,0,80,1.0,scenario_id,53,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,forbidden_top1_rate,0.0,0.0,0.0,,0.0,0.0,0,80,0,80,1.0,scenario_id,53,0.0,0.0,1.0,
without_document_type_minus_full,filter_full,filter_drop_document_type,top1_mojibake_rate,0.0,0.0,0.0,,0.0,0.0,0,110,0,110,1.0,scenario_id,83,0.0,0.0,1.0,
without_project_name_minus_full,filter_full,filter_drop_project_name,recall_at_5,1.0,0.975,-0.025,-0.025,-0.0625,0.0,0,78,2,80,0.488502,scenario_id,53,-0.065789,0.0,0.4979,
without_project_name_minus_full,filter_full,filter_drop_project_name,success_at_5,1.0,0.981818,-0.018182,-0.018182,-0.045455,0.0,0,108,2,110,0.507299,scenario_id,83,-0.04717,0.0,0.4979,
without_project_name_minus_full,filter_full,filter_drop_project_name,mrr_at_10,0.90625,0.800015,-0.106235,-0.117225,-0.15869,-0.056458,1,62,17,80,0.0002,scenario_id,53,-0.150666,-0.061081,0.0006,
without_project_name_minus_full,filter_full,filter_drop_project_name,ndcg_at_10,0.930406,0.850024,-0.080382,-0.086395,-0.120218,-0.043055,1,62,17,80,0.0002,scenario_id,53,-0.114054,-0.045963,0.0006,
without_project_name_minus_full,filter_full,filter_drop_project_name,term_hit_rate_at_5,1.0,0.975,-0.025,-0.025,-0.0625,0.0,0,78,2,80,0.488502,scenario_id,53,-0.065789,0.0,0.4979,
without_project_name_minus_full,filter_full,filter_drop_project_name,null_rejection_at_10,1.0,1.0,0.0,0.0,0.0,0.0,0,30,0,30,1.0,scenario_id,30,0.0,0.0,1.0,
without_project_name_minus_full,filter_full,filter_drop_project_name,all_required_documents_at_10,1.0,1.0,0.0,0.0,0.0,0.0,0,110,0,110,1.0,scenario_id,83,0.0,0.0,1.0,
without_project_name_minus_full,filter_full,filter_drop_project_name,filter_preflight_pass_rate,1.0,1.0,0.0,0.0,0.0,0.0,0,110,0,110,1.0,scenario_id,83,0.0,0.0,1.0,
