field,query_count,answerable_count,null_count,scenario_count,evidence_bases,mean_candidates,p50_candidates,p95_candidates,mean_candidate_reduction_pct,relevant_retention_rate
content_kind,30,30,0,30,"{""deterministic_query_intent"": 30}",60.0,60.0,60.0,78.339,1.0
data_period,70,40,30,69,"{""annual_period_equivalence"": 70}",27.486,13.0,65.0,90.077,1.0
document_type,90,60,30,70,"{""frozen_condition"": 90}",48.556,52.0,52.0,82.471,1.0
domain,60,60,0,40,"{""document_type_domain_mapping"": 60}",68.1,73.0,73.0,75.415,1.0
effective_status,40,40,0,38,"{""current_latest_equivalence"": 40}",86.0,86.0,86.0,68.953,1.0
lifecycle_status,40,40,0,38,"{""frozen_condition"": 40}",86.0,86.0,86.0,68.953,1.0
project_code,36,36,0,18,"{""canonical_alias_resolution"": 18, ""query_literal_value"": 18}",2.0,2.0,2.0,99.278,1.0
project_name,80,50,30,73,"{""frozen_condition"": 80}",2.5,3.0,3.0,99.097,1.0
region,4,4,0,4,"{""query_literal_value"": 4}",1.0,1.0,1.0,99.639,1.0
section_title,31,31,0,31,"{""query_literal_value"": 31}",3.032,2.0,10.0,98.905,1.0
source,30,30,0,30,"{""frozen_condition"": 30}",125.0,125.0,125.0,54.874,1.0
year,70,40,30,69,"{""frozen_condition"": 70}",35.586,13.0,86.0,87.153,1.0
