field,group,current_coverage,gold_coverage,coverage_rate,distinct_gold_values,expected_candidates_for_observed_value,expected_candidate_reduction_pct,p50_candidates_per_value,p95_candidates_per_value,current_gold_overlap,current_gold_agreement_rate,required_query_count,frozen_condition_count,diagnostic_query_count
as_of_date,domain_filter_candidate,0,125,0.451264,1,125.0,54.874,125,125,0,,30,0,0
chunk_index,provenance,277,277,1.0,76,5.173,98.132,3.0,9,277,1.0,0,0,0
clause_type,domain_filter_candidate,0,104,0.375451,28,7.423,97.32,3.0,12,0,,0,0,0
content_kind,ranking_or_routing,277,277,1.0,2,182.993,33.938,138.5,217,277,1.0,30,0,30
context_enrichment,operational,277,277,1.0,277,1.0,99.639,1,1,277,1.0,0,0,0
contextual_search_terms,ranking_or_routing,0,106,0.382671,64,3.057,98.897,1.0,4,0,,0,0,0
contextual_summary,ranking_or_routing,89,159,0.574007,134,1.428,99.485,1.0,2,89,0.786517,0,0,0
data_period,domain_filter_candidate,0,125,0.451264,5,41.384,85.06,13,65,0,,0,0,70
document_type,domain_filter_candidate,277,277,1.0,5,97.195,64.912,52,145,277,1.0,150,90,90
document_version,domain_filter_candidate,0,125,0.451264,4,63.224,77.175,13.0,86,0,,20,0,0
domain,domain_filter_candidate,152,277,1.0,4,105.079,62.065,62.5,145,152,1.0,0,0,60
effective_status,domain_filter_candidate,0,125,0.451264,2,71.336,74.247,62.5,86,0,,30,0,40
keyword_aliases,ranking_or_routing,152,277,1.0,9,52.011,81.224,13,76,152,1.0,0,0,0
language,ranking_or_routing,277,277,1.0,1,277.0,0.0,277,277,277,1.0,0,0,0
lifecycle_status,domain_filter_candidate,0,125,0.451264,2,71.336,74.247,62.5,86,0,,40,40,40
market_type,domain_filter_candidate,0,4,0.01444,1,4.0,98.556,4,4,0,,0,0,0
page_number,provenance,277,277,1.0,51,66.401,76.029,3,4,277,1.0,0,0,0
policy_field,domain_filter_candidate,0,6,0.021661,3,3.0,98.917,1,4,0,,0,0,0
project_code,domain_filter_candidate,0,19,0.068592,19,1.0,99.639,1,1,0,,18,0,36
project_name,domain_filter_candidate,0,25,0.090253,25,1.0,99.639,1,1,0,,150,80,80
project_status,domain_filter_candidate,0,20,0.072202,6,9.1,96.715,1.0,13,0,,30,0,0
region,domain_filter_candidate,0,24,0.086643,22,1.167,99.579,1.0,2,0,,4,0,4
reliability_grade,domain_filter_candidate,0,4,0.01444,4,1.0,99.639,1.0,1,0,,0,0,0
section_path,ranking_or_routing,277,277,1.0,111,5.542,97.999,2,4,277,0.870036,60,0,0
section_title,ranking_or_routing,277,277,1.0,110,5.549,97.997,2.0,4,277,0.880866,78,0,31
source,domain_filter_candidate,0,125,0.451264,1,125.0,54.874,125,125,0,,30,30,30
source_code,domain_filter_candidate,0,6,0.021661,6,1.0,99.639,1.0,1,0,,10,0,0
source_kind,domain_filter_candidate,277,277,1.0,2,138.805,49.89,138.5,145,277,1.0,0,0,0
table_header,ranking_or_routing,0,40,0.144404,14,9.55,96.552,1.0,4,0,,30,0,0
title,ranking_or_routing,277,277,1.0,9,52.011,81.224,13,76,277,1.0,0,0,0
year,domain_filter_candidate,0,125,0.451264,4,63.224,77.175,13.0,86,0,,100,70,70
